pID,condition,target,distractor,start_time,typed_input,keypress_times,cleaned_response,cleaned_typingTimes,response_type,response_check,subj,trialNum,onset_time,onset_latency,edit_type
030ad01f9bfb7ac7493ac356817f6804,UNREL,cannon,plate,1645570536216,"C,A,N,N,O,N,(Enter)",1645570537460165e75,cannon_,1645570537460165e75,pass,pass-target,2,20,1645570537460,944,NA
030ad01f9bfb7ac7493ac356817f6804,REL,windmill,factory,1645570538804,"W,I,N,D,M,I,L,L,(Enter)",1645570540216164e101,windmill_,1645570540216164e101,pass,pass-target,2,21,1645570540216,1112,NA
030ad01f9bfb7ac7493ac356817f6804,NEU,rabbit,XXXXX,1645570542042,"R,A,B,B,I,T,(Enter)",16455705432331646e74,rabbit_,16455705432331646e74,pass,pass-target,2,22,1645570543233,891,NA
030ad01f9bfb7ac7493ac356817f6804,ID,wardrobe,wardrobe,1645570544124,"W,A,R,D,R,O,B,E,(Enter)",16455705491061654e100,wardrobe_,16455705491061654e100,pass,pass-target,2,23,1645570549106,4682,NA
030ad01f9bfb7ac7493ac356817f6804,UNREL,factory,nose,1645570550499,"F,A,C,T,O,R,Y,(Enter)",1645570552048165e88,factory_,1645570552048165e88,pass,pass-target,2,24,1645570552048,1249,NA
030ad01f9bfb7ac7493ac356817f6804,ID,cup,cup,1645570552986,"C,U,P,(Enter)",16455705540331642e35,cup_,16455705540331642e35,pass,pass-target,2,25,1645570554033,747,NA
030ad01f9bfb7ac7493ac356817f6804,REL,vest,coat,1645570554544,"V,E,S,T,(Enter)",16455705563401662e48,vest_,16455705563401662e48,pass,pass-target,2,26,1645570556340,1496,NA
030ad01f9bfb7ac7493ac356817f6804,NEU,windmill,XXXXX,1645570556884,"W,I,N,D,M,I,L,L,(Enter)",1645570558778165e101,windmill_,1645570558778165e101,pass,pass-target,2,27,1645570558778,1594,NA
030ad01f9bfb7ac7493ac356817f6804,UNREL,skirt,swan,1645570560329,"S,K,I,R,T,(Enter)",16455705619221654e61,skirt_,16455705619221654e61,pass,pass-target,2,28,1645570561922,1293,NA
030ad01f9bfb7ac7493ac356817f6804,REL,bike,train,1645570562919,"B,I,K,E,(Enter)",16455705642221643e48,bike_,16455705642221643e48,pass,pass-target,2,29,1645570564222,1003,NA
030ad01f9bfb7ac7493ac356817f6804,ID,pistol,pistol,1645570571509,"P,I,S,T,O,L,(Enter)",16455705728611649e74,pistol_,16455705728611649e74,pass,pass-target,2,31,1645570572861,1052,NA
030ad01f9bfb7ac7493ac356817f6804,UNREL,desk,deer,1645570573791,"D,E,S,K,(Enter)",16455705749951633e48,desk_,16455705749951633e48,pass,pass-target,2,32,1645570574995,904,NA
030ad01f9bfb7ac7493ac356817f6804,ID,bike,bike,1645570575864,"B,I,K,E,(Enter)",1645570576947163e49,bike_,1645570576947163e49,pass,pass-target,2,33,1645570576947,783,NA
